location_name,longitude,latitude,source
Adgaon Parking,73.838,20.042,curated (Adgaon outer parking)
Bus Stand Nashik,73.7799,19.9972,curated (CBS Central Bus Stand)
Dasak Ghat,73.8464,19.99,curated (Dasak Ghat)
Dindori Road Crossing,73.8033,20.0345,curated (Dindori Road parking belt)
Gauri Patangan,73.825,20.02,curated (mela ground near Trimbakeshwar approach)
Kapila Sangam,73.82,19.95,curated (Trimbakeshwar sangam area)
Kushavart Kund,73.825,19.93,curated (Trimbakeshwar Kushavart)
Laxmi Narayan Ghat,73.8038,20.0224,curated (Lakshmi Narayan Trust Hanuman Nagar)
Madsangavi Transit,73.883,20.066,curated (Madsangavi outer parking)
Main Police Chowki,73.7839,19.9876,curated (Mumbai Naka police chowki)
Nandur Ghat,73.831,20.0048,curated (Nandur Naka)
Nashik Road Station,73.8406,19.9488,curated (Nashik Road Railway Station)
Panchavati Circle,73.7949,20.0101,curated (Panchavati Karanja)
Rajur Bahula,73.673,19.946,curated (Rajur Bahula outer parking)
Ramkund Ghat,73.7906,20.0067,curated (Ram Kund)
Sadhugram Gate 1,73.789,20.0105,curated (Sadhugram mela gate)
Sadhugram Gate 2,73.792,20.0095,curated (Sadhugram mela gate)
Takli Sangam,73.8216,19.9897,curated (Takli Sangam Ghat)
Trimbak Road,73.6615,19.9664,curated (Trimbak Road exit)
Trimbakeshwar Approach,73.825,19.93,curated (Trimbakeshwar approach)
